,lineId,stop_name,stop_code,X,Y
2721, 15B,Rathgar Road (Highfield Road),1081,-6.27356944533313,53.3126687497719
2722, 65,Rathgar Road (Highfield Road),1081,-6.27356944533313,53.3126687497719
2723, 65B,Rathgar Road (Highfield Road),1081,-6.27356944533313,53.3126687497719
2724,15,Terenure Road East,1082,-6.27575563304277,53.3116757300624
2725, 15A,Terenure Road East,1082,-6.27575563304277,53.3116757300624
2726, 65,Terenure Road East,1082,-6.27575563304277,53.3116757300624
2727, 65B,Terenure Road East,1082,-6.27575563304277,53.3116757300624
2728,15,Brighton Road,1083,-6.27823825435425,53.3111453402373
2729, 15A,Brighton Road,1083,-6.27823825435425,53.3111453402373
2730, 65,Brighton Road,1083,-6.27823825435425,53.3111453402373
2731, 65B,Brighton Road,1083,-6.27823825435425,53.3111453402373
2732,15,Terenure Road East,1085,-6.28237731375662,53.3100994897133
2733, 15A,Terenure Road East,1085,-6.28237731375662,53.3100994897133
2734, 65,Terenure Road East,1085,-6.28237731375662,53.3100994897133
2735, 65B,Terenure Road East,1085,-6.28237731375662,53.3100994897133
2736,15A,Terenure Road West,1086,-6.28560644283402,53.3096605902509
2737, 17,Terenure Road West,1086,-6.28560644283402,53.3096605902509
2738,15A,Garda Station,1087,-6.28937626129844,53.3103349004372
2739, 17,Garda Station,1087,-6.28937626129844,53.3103349004372
2740,15A,Terenure Road West,1088,-6.29317799074317,53.3109646102828
2741, 17,Terenure Road West,1088,-6.29317799074317,53.3109646102828
2742,15A,Lavarna Grove,1089,-6.29748801915427,53.3116463902223
2743, 17,Lavarna Grove,1089,-6.29748801915427,53.3116463902223
2744,15A,Kimmage Road West (Fortfield Road),1090,-6.30061679951791,53.3122213100081
2745, 17,Kimmage Road West (Fortfield Road),1090,-6.30061679951791,53.3122213100081
2746, 9,Kimmage Road West (Fortfield Road),1090,-6.30061679951791,53.3122213100081
2747,15A,Whitehall Road (Kimmage Road West),1091,-6.30527557760085,53.3124404004179
2748,15A,Whitehall Road,1092,-6.30919969895743,53.3107434097342
2749,15A,Whitehall Road,1093,-6.31164644188065,53.3099691399483
2750,15A,Glendale Park,1113,-6.31533393670787,53.3089337302253
2751,15A,Manor Grove,1114,-6.31085338592262,53.3102904701972
2752,15A,Whitehall Gardens,1115,-6.30749031799797,53.3114651800544
2753,15A,Lavarna Grove,1117,-6.29828975699828,53.3118645595682
2754, 17,Lavarna Grove,1117,-6.29828975699828,53.3118645595682
2755,15A,Terenure Road West,1118,-6.29499425582078,53.3113321302283
2756, 17,Terenure Road West,1118,-6.29499425582078,53.3113321302283
2757,15A,Terenure Road West,1119,-6.29239912318019,53.3109264898106
2758, 17,Terenure Road West,1119,-6.29239912318019,53.3109264898106
2759,15A,Garda Station,1120,-6.28798713756552,53.3101711599209
2760, 17,Garda Station,1120,-6.28798713756552,53.3101711599209
2761,15,Terenure Cross Library,1121,-6.28542166613272,53.3090287603253
2762, 49,Terenure Cross Library,1121,-6.28542166613272,53.3090287603253
2763, 65,Terenure Cross Library,1121,-6.28542166613272,53.3090287603253
2764, 65B,Terenure Cross Library,1121,-6.28542166613272,53.3090287603253
2765,15,Templeogue Road,1122,-6.28829892714395,53.3072544899326
2766, 49,Templeogue Road,1122,-6.28829892714395,53.3072544899326
2767, 65,Templeogue Road,1122,-6.28829892714395,53.3072544899326
2768, 65B,Templeogue Road,1122,-6.28829892714395,53.3072544899326
2769,15,Lakeland's Park,1123,-6.29102203308975,53.3055768098262
2770, 49,Lakeland's Park,1123,-6.29102203308975,53.3055768098262
2771, 65,Lakeland's Park,1123,-6.29102203308975,53.3055768098262
2772, 65B,Lakeland's Park,1123,-6.29102203308975,53.3055768098262
2773,15,Templeogue Road,1124,-6.29336034103328,53.3041362400529
2774, 49,Templeogue Road,1124,-6.29336034103328,53.3041362400529
2775, 65,Templeogue Road,1124,-6.29336034103328,53.3041362400529
2776, 65B,Templeogue Road,1124,-6.29336034103328,53.3041362400529
2777,15,Bushy Park,1159,-6.29639975302541,53.3024180297501
2778, 49,Bushy Park,1159,-6.29639975302541,53.3024180297501
2779, 65,Bushy Park,1159,-6.29639975302541,53.3024180297501
2780, 65B,Bushy Park,1159,-6.29639975302541,53.3024180297501
2781,15,Terenure College,1160,-6.29318570484453,53.304376420241
2782, 49,Terenure College,1160,-6.29318570484453,53.304376420241
2783, 65,Terenure College,1160,-6.29318570484453,53.304376420241
2784, 65B,Terenure College,1160,-6.29318570484453,53.304376420241
2785,15,Templeogue Road,1161,-6.29047811591156,53.3060453896432
2786, 49,Templeogue Road,1161,-6.29047811591156,53.3060453896432
2787, 65,Templeogue Road,1161,-6.29047811591156,53.3060453896432
2788, 65B,Templeogue Road,1161,-6.29047811591156,53.3060453896432
2789,15,Rathdown Park,1162,-6.28772388490573,53.3077495696622
2790, 49,Rathdown Park,1162,-6.28772388490573,53.3077495696622
2791, 65,Rathdown Park,1162,-6.28772388490573,53.3077495696622
2792, 65B,Rathdown Park,1162,-6.28772388490573,53.3077495696622
2793,15,Templeogue Road #1,1163,-6.28578594160124,53.3089261400537
2794, 49,Templeogue Road #1,1163,-6.28578594160124,53.3089261400537
2795, 65,Templeogue Road #1,1163,-6.28578594160124,53.3089261400537
2796, 65B,Templeogue Road #1,1163,-6.28578594160124,53.3089261400537
2797,15,Terenure Road East,1164,-6.28159976032264,53.310402870174
2798, 15A,Terenure Road East,1164,-6.28159976032264,53.310402870174
2799, 65,Terenure Road East,1164,-6.28159976032264,53.310402870174
2800, 65B,Terenure Road East,1164,-6.28159976032264,53.310402870174
2801,15,Terenure Road East,1165,-6.27640059169919,53.3116850498294
2802, 15A,Terenure Road East,1165,-6.27640059169919,53.3116850498294
2803, 65,Terenure Road East,1165,-6.27640059169919,53.3116850498294
2804, 65B,Terenure Road East,1165,-6.27640059169919,53.3116850498294
2805,14,Rathgar Road (Garville),1166,-6.27287405897056,53.3139080399494
2806, 14C,Rathgar Road (Garville),1166,-6.27287405897056,53.3139080399494
2807, 15,Rathgar Road (Garville),1166,-6.27287405897056,53.3139080399494
2808, 15A,Rathgar Road (Garville),1166,-6.27287405897056,53.3139080399494
2809, 15B,Rathgar Road (Garville),1166,-6.27287405897056,53.3139080399494
2810, 65,Rathgar Road (Garville),1166,-6.27287405897056,53.3139080399494
2811, 65B,Rathgar Road (Garville),1166,-6.27287405897056,53.3139080399494
2812,14,Rathgar Road (Garville),1167,-6.2714255862484,53.3159543295664
2813, 14C,Rathgar Road (Garville),1167,-6.2714255862484,53.3159543295664
2814, 15,Rathgar Road (Garville),1167,-6.2714255862484,53.3159543295664
2815, 15A,Rathgar Road (Garville),1167,-6.2714255862484,53.3159543295664
2816, 15B,Rathgar Road (Garville),1167,-6.2714255862484,53.3159543295664
2817, 65,Rathgar Road (Garville),1167,-6.2714255862484,53.3159543295664
2818, 65B,Rathgar Road (Garville),1167,-6.2714255862484,53.3159543295664
2819,14,Rathgar Road,1168,-6.27002452031709,53.3179383697668
2820, 14C,Rathgar Road,1168,-6.27002452031709,53.3179383697668
2821, 15,Rathgar Road,1168,-6.27002452031709,53.3179383697668
2822, 15A,Rathgar Road,1168,-6.27002452031709,53.3179383697668
2823, 15B,Rathgar Road,1168,-6.27002452031709,53.3179383697668
2824, 65,Rathgar Road,1168,-6.27002452031709,53.3179383697668
2825, 65B,Rathgar Road,1168,-6.27002452031709,53.3179383697668
2826,14,Rathmines Park,1169,-6.26854394895705,53.3200291000054
2827, 14C,Rathmines Park,1169,-6.26854394895705,53.3200291000054
2828, 15,Rathmines Park,1169,-6.26854394895705,53.3200291000054
2829, 15A,Rathmines Park,1169,-6.26854394895705,53.3200291000054
2830, 15B,Rathmines Park,1169,-6.26854394895705,53.3200291000054
2831, 65,Rathmines Park,1169,-6.26854394895705,53.3200291000054
2832, 65B,Rathmines Park,1169,-6.26854394895705,53.3200291000054
2833,14,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2834, 14C,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2835, 15,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2836, 15A,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2837, 15B,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2838, 65,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
2839, 65B,Rathgar Road (Lower Rathmines Road),1170,-6.26652561307028,53.3216805601828
